Month,Year,Import
August,2016,43041.00
September,2016,39666.00
October,2016,24515.00
November,2016,36288.00
December,2016,33256.00
January,2017,33374.00
February,2017,35725.00
March,2017,46555.00
April,2017,44390.00
May,2017,43521.00
June,2017,57068.00
July,2017,73498.00
August,2017,88852.00
September,2017,59827.00
October,2017,58143.00
November,2017,71196.00
December,2017,73224.00
January,2018,70734.00
February,2018,61970.00
March,2018,71293.00
April,2018,77628.00
May,2018,75005.00
June,2018,79063.00
July,2018,70745.00
August,2018,69064.00
September,2018,49880.00
October,2018,51746.00
November,2018,39469.00
December,2018,65825.00
January,2019,56477.00
February,2019,23306.00
March,2019,57318.00
April,2019,43615.00
May,2019,28830.00
June,2019,33280.00
July,2019,25656.00
August,2019,25373.00
September,2019,25641.00
October,2019,28131.00
November,2019,27195.00
December,2019,37803.00
January,2020,46399.00
February,2020,27985.00
March,2020,41908.00
April,2020,45005.00
May,2020,29902.00
June,2020,26836.00
July,2020,45375.00
August,2020,33575.00
September,2020,30527.00
October,2020,30108.00
November,2020,42432.00
December,2020,26788.00
January,2021,27588.00
February,2021,19989.00
March,2021,26110.00
April,2021,23684.00
May,2021,24503.00
June,2021,26704.00
July,2021,34746.00
August,2021,54122.00
September,2021,61076.00
October,2021,30451.00
November,2021,14158.00
December,2021,46742.00
