LOCAL_DATE,mean_temp,mean_prec
01/06/1940 00:00,14.71428571,4.6
02/06/1940 00:00,14.31428571,10
03/06/1940 00:00,15.92857143,2.5
04/06/1940 00:00,16.38571429,1
05/06/1940 00:00,16.97142857,11
06/06/1940 00:00,14.17142857,21.3
07/06/1940 00:00,13.11428571,17.6
08/06/1940 00:00,14.65714286,38.2
09/06/1940 00:00,14.91428571,23.1
10/06/1940 00:00,16.31428571,27.9
11/06/1940 00:00,18.27142857,16
12/06/1940 00:00,18.07142857,25.2
13/06/1940 00:00,17.47142857,21.1
14/06/1940 00:00,14.45714286,1.3
15/06/1940 00:00,16.17142857,6.8
16/06/1940 00:00,15.2,0
17/06/1940 00:00,16.01666667,4.6
18/06/1940 00:00,16.84285714,9.5
19/06/1940 00:00,15.67142857,0.5
20/06/1940 00:00,13.2,19.9
21/06/1940 00:00,13.14285714,15
22/06/1940 00:00,12.84285714,10.1
23/06/1940 00:00,14.27142857,18.3
24/06/1940 00:00,14.95714286,6.6
25/06/1940 00:00,14.65714286,9.7
26/06/1940 00:00,13.98571429,42.9
27/06/1940 00:00,14.24285714,44.7
28/06/1940 00:00,14.52857143,28.7
29/06/1940 00:00,15.34285714,13.2
30/06/1940 00:00,15.94285714,8.1
01/07/1940 00:00,15.74285714,10.4
02/07/1940 00:00,17.61428571,2.8
03/07/1940 00:00,17.2,0
04/07/1940 00:00,18.64285714,61.4
05/07/1940 00:00,17.32857143,27.5
06/07/1940 00:00,17.08571429,6.1
07/07/1940 00:00,18.51428571,0
08/07/1940 00:00,19.65714286,0
09/07/1940 00:00,18.92857143,11.8
10/07/1940 00:00,17.41428571,29.7
11/07/1940 00:00,15.9,22.4
12/07/1940 00:00,17.47142857,0
13/07/1940 00:00,17.41428571,19.9
14/07/1940 00:00,16.17142857,0.8
15/07/1940 00:00,17.8,33
16/07/1940 00:00,18.17142857,5.3
17/07/1940 00:00,18.37142857,23.7
18/07/1940 00:00,19.2,2.8
19/07/1940 00:00,20.15714286,32.8
20/07/1940 00:00,21.35714286,49.5
21/07/1940 00:00,22,0.3
22/07/1940 00:00,22.11428571,7.6
23/07/1940 00:00,21.1,10
24/07/1940 00:00,20.05714286,12.2
25/07/1940 00:00,19.24285714,12.7
26/07/1940 00:00,19.18571429,13
27/07/1940 00:00,18.82857143,18.3
