,Date,tmax,tmin,prcp
51012,1990-09-01,88.30049261083744,63.172413793103445,6.500000000000001
51013,1990-09-02,88.10396039603961,64.07425742574257,8.44
51014,1990-09-03,86.79207920792079,63.415841584158414,6.529999999999999
51015,1990-09-04,88.08415841584159,63.836633663366335,7.119999999999999
51016,1990-09-05,89.1231527093596,64.73891625615764,11.92
51017,1990-09-06,90.76847290640394,66.32512315270937,22.91
51018,1990-09-07,87.79310344827586,64.20197044334975,21.53
51019,1990-09-08,85.33004926108374,61.86206896551724,9.67
51020,1990-09-09,85.61576354679804,61.8423645320197,19.07
51021,1990-09-10,86.61576354679804,61.89108910891089,16.459999999999997
51022,1990-09-11,86.30541871921183,61.806930693069305,18.3
51023,1990-09-12,85.71428571428571,63.02463054187192,26.31
51024,1990-09-13,85.30049261083744,62.48514851485149,15.760000000000002
51025,1990-09-14,82.2871287128713,60.172413793103445,38.18
51026,1990-09-15,81.34975369458128,57.532019704433495,12.96
51027,1990-09-16,76.91584158415841,55.14778325123153,13.74
51028,1990-09-17,74.43069306930693,53.4228855721393,11.290000000000001
51029,1990-09-18,74.5940594059406,52.945544554455445,27.230000000000004
51030,1990-09-19,75.76847290640394,55.251231527093594,30.03
51031,1990-09-20,77.38423645320196,56.47029702970297,22.39
51032,1990-09-21,77.1930693069307,55.94088669950739,32.84
51033,1990-09-22,74.76354679802955,53.79802955665025,24.59
51034,1990-09-23,70.69154228855722,48.45544554455446,6.23
51035,1990-09-24,74.60591133004927,47.142857142857146,0.43000000000000005
51036,1990-09-25,79.5615763546798,50.524752475247524,3.41
51037,1990-09-26,81.43349753694581,53.16831683168317,1.4300000000000002
51038,1990-09-27,80.79310344827586,53.722772277227726,1.8399999999999999
51039,1990-09-28,78.10837438423646,54.443349753694584,11.430000000000003
51040,1990-09-29,75.26732673267327,54.7192118226601,19.46
51041,1990-09-30,75.03448275862068,52.23645320197044,13.31
51042,1990-10-01,76.02463054187191,50.742574257425744,5.18
51043,1990-10-02,75.7487684729064,51.71782178217822,7.770000000000001
51044,1990-10-03,75.80295566502463,53.10344827586207,49.28
51045,1990-10-04,77.64039408866995,53.320197044334975,50.47
51046,1990-10-05,80.50246305418719,52.86699507389162,3.0300000000000002
51047,1990-10-06,77.33497536945812,52.26600985221675,3.5700000000000003
51048,1990-10-07,71.46039603960396,50.381188118811885,22.63
51049,1990-10-08,68.21674876847291,49.83168316831683,32.09
51050,1990-10-09,67.95566502463055,46.806930693069305,58.14
51051,1990-10-10,66.92610837438424,44.610837438423644,53.059999999999995
51052,1990-10-11,66.51231527093596,43.522167487684726,29.24
51053,1990-10-12,68.72413793103448,45.42857142857143,40.69
51054,1990-10-13,70.90147783251231,47.54679802955665,20.85
51055,1990-10-14,71.57425742574257,47.4384236453202,19.109999999999996
51056,1990-10-15,71.98522167487685,46.42857142857143,3.08
51057,1990-10-16,73.3019801980198,46.95073891625616,2.79
51058,1990-10-17,72.24137931034483,47.26732673267327,35.0
51059,1990-10-18,65.85643564356435,42.89655172413793,57.17
51060,1990-10-19,63.083743842364534,39.63054187192118,8.45
51061,1990-10-20,64.27586206896552,40.07881773399015,9.569999999999999
51062,1990-10-21,64.82673267326733,41.2807881773399,30.54
51063,1990-10-22,64.91625615763547,43.566502463054185,54.45
51064,1990-10-23,65.72277227722772,42.836633663366335,37.21
51065,1990-10-24,66.01477832512315,40.78817733990148,10.51
51066,1990-10-25,63.98029556650246,39.495049504950494,7.83
51067,1990-10-26,65.15270935960591,38.22660098522167,2.0600000000000005
51068,1990-10-27,66.13366336633663,37.80788177339902,2.0
51069,1990-10-28,65.27722772277228,38.28712871287129,3.62
51070,1990-10-29,67.0295566502463,38.48019801980198,3.19
51071,1990-10-30,70.3743842364532,40.77339901477833,10.939999999999998
51072,1990-10-31,71.4384236453202,43.33497536945813,6.029999999999999
51073,1990-11-01,70.84729064039409,44.689655172413794,2.6
51074,1990-11-02,67.75862068965517,44.58620689655172,6.59
51075,1990-11-03,65.0,42.3743842364532,20.18
51076,1990-11-04,61.51231527093596,39.74384236453202,33.879999999999995
51077,1990-11-05,58.241379310344826,36.9064039408867,39.010000000000005
51078,1990-11-06,53.29556650246305,33.827586206896555,10.36
51079,1990-11-07,51.679802955665025,31.665024630541872,4.1
51080,1990-11-08,51.92079207920792,33.866336633663366,21.54
51081,1990-11-09,54.86699507389162,36.98522167487685,67.94999999999999
51082,1990-11-10,59.2807881773399,37.16831683168317,41.08
51083,1990-11-11,61.0935960591133,34.73891625615764,4.990000000000001
51084,1990-11-12,61.26732673267327,35.48768472906404,1.4300000000000002
51085,1990-11-13,61.31527093596059,35.60591133004926,10.549999999999999
51086,1990-11-14,65.6256157635468,37.82266009852217,2.5100000000000002
51087,1990-11-15,67.92079207920793,41.78712871287129,0.14
51088,1990-11-16,64.64532019704434,39.53465346534654,3.24
51089,1990-11-17,59.32512315270936,36.44827586206897,5.95
51090,1990-11-18,57.22660098522167,35.576354679802954,1.0300000000000002
51091,1990-11-19,59.18226600985221,36.108374384236456,3.94
51092,1990-11-20,60.94059405940594,40.12315270935961,5.19
51093,1990-11-21,62.600985221674875,40.31527093596059,11.07
51094,1990-11-22,61.06896551724138,38.68811881188119,22.16
51095,1990-11-23,59.61576354679803,39.43069306930693,11.05
51096,1990-11-24,62.74384236453202,37.19704433497537,10.46
51097,1990-11-25,61.12807881773399,37.793103448275865,8.51
51098,1990-11-26,60.41871921182266,38.364532019704434,11.000000000000002
51099,1990-11-27,59.0990099009901,39.73762376237624,54.08
