Date,Price,Open,High,Low,Change %
2022-06-21,6.6891,6.6925,6.7008,6.6756,-0.01%
2022-06-20,6.69,6.7092,6.7109,6.6715,-0.39%
2022-06-17,6.716,6.6979,6.7193,6.6915,0.19%
2022-06-16,6.703,6.6939,6.719,6.6916,-0.15%
2022-06-15,6.7128,6.7277,6.7283,6.703,-0.40%
2022-06-14,6.7395,6.7606,6.7617,6.7133,-0.20%
2022-06-13,6.753,6.7393,6.7593,6.7264,0.67%
2022-06-10,6.7081,6.6909,6.7185,6.6789,0.25%
2022-06-09,6.6915,6.6944,6.7013,6.6635,0.13%
2022-06-08,6.6825,6.6675,6.6974,6.6625,0.22%
2022-06-07,6.6675,6.6673,6.679,6.661,0.21%
2022-06-06,6.6534,6.6418,6.6586,6.6376,-0.11%
2022-06-03,6.6607,6.6603,6.6607,6.6601,0.02%
2022-06-02,6.6596,6.693,6.7064,6.6595,-0.39%
2022-06-01,6.6858,6.6676,6.7009,6.6641,0.21%
2022-05-31,6.6715,6.6708,6.6754,6.6508,0.18%
2022-05-30,6.6597,6.7024,6.7026,6.6443,-0.57%
2022-05-27,6.698,6.752,6.7521,6.6918,-0.59%
2022-05-26,6.738,6.6916,6.7509,6.6916,0.69%
2022-05-25,6.6916,6.661,6.6994,6.6564,0.58%
2022-05-24,6.653,6.6613,6.6806,6.6493,0.06%
2022-05-23,6.649,6.6768,6.6925,6.6448,-0.64%
2022-05-20,6.6921,6.7222,6.732,6.6673,-0.24%
2022-05-19,6.7085,6.7621,6.7705,6.7111,-0.67%
2022-05-18,6.754,6.7415,6.758,6.7377,0.30%
2022-05-17,6.7337,6.7783,6.7832,6.7224,-0.72%
2022-05-16,6.7822,6.778,6.8038,6.7724,-0.09%
2022-05-13,6.788,6.7916,6.8127,6.7757,0.03%
2022-05-12,6.786,6.7325,6.7976,6.728,1.00%
2022-05-11,6.7186,6.7337,6.7386,6.7105,-0.23%
2022-05-10,6.7343,6.7315,6.7408,6.6898,0.07%
2022-05-09,6.7295,6.7042,6.7323,6.6916,0.97%
2022-05-06,6.6651,6.6602,6.6956,6.6592,0.17%
2022-05-05,6.6535,6.5908,6.6557,6.5908,0.68%
2022-05-04,6.6085,6.6084,6.6086,6.608,0.00%
2022-05-03,6.6084,6.6085,6.6089,6.6078,0.00%
2022-05-02,6.6082,6.6085,6.6087,6.6078,0.00%
2022-04-29,6.608,6.615,6.6515,6.5841,-0.25%
2022-04-28,6.6243,6.5607,6.6309,6.5588,0.99%
2022-04-27,6.5595,6.5613,6.5655,6.5469,0.07%
2022-04-26,6.5552,6.5608,6.5637,6.5266,-0.05%
2022-04-25,6.5585,6.5148,6.5792,6.5131,0.88%
2022-04-22,6.501,6.4516,6.5067,6.4491,0.79%
2022-04-21,6.45,6.4155,6.454,6.4083,0.49%
2022-04-20,6.4188,6.4095,6.4211,6.3946,0.40%
2022-04-19,6.393,6.3691,6.3984,6.3685,0.47%
2022-04-18,6.363,6.3763,6.3768,6.3641,-0.12%
2022-04-15,6.3705,6.3777,6.378,6.3673,-0.11%
2022-04-14,6.3775,6.3664,6.382,6.3621,0.15%
2022-04-13,6.3678,6.3685,6.3717,6.3628,0.04%
2022-04-12,6.3651,6.373,6.375,6.3637,-0.01%
2022-04-11,6.366,6.3655,6.3754,6.3649,0.08%
2022-04-08,6.361,6.3626,6.3688,6.3556,0.07%
2022-04-07,6.3564,6.3619,6.3662,6.3563,-0.04%
2022-04-06,6.359,6.3723,6.3765,6.3562,-0.08%
2022-04-05,6.3641,6.3634,6.3642,6.3629,0.01%
2022-04-04,6.3634,6.3631,6.3636,6.3629,0.01%
2022-04-01,6.3625,6.343,6.3665,6.3422,0.37%
2022-03-31,6.3393,6.3485,6.3556,6.3371,-0.12%
2022-03-30,6.347,6.3633,6.3637,6.3457,-0.21%
2022-03-29,6.3602,6.3693,6.3753,6.3608,-0.18%
2022-03-28,6.3714,6.3795,6.3819,6.3664,0.09%
2022-03-25,6.3658,6.3654,6.3684,6.3581,-0.02%
2022-03-24,6.367,6.3755,6.3783,6.3658,-0.08%
2022-03-23,6.372,6.365,6.3773,6.3636,0.09%
2022-03-22,6.366,6.3625,6.3678,6.3574,0.17%
2022-03-21,6.3552,6.3575,6.3682,6.3511,-0.09%
2022-03-18,6.3609,6.3498,6.3692,6.347,0.24%
2022-03-17,6.3459,6.345,6.3548,6.3408,-0.08%
2022-03-16,6.351,6.3705,6.3707,6.3418,-0.29%
2022-03-15,6.3696,6.3657,6.3868,6.3657,0.14%
2022-03-14,6.3607,6.3477,6.3681,6.3447,0.34%
2022-03-11,6.3389,6.3245,6.3403,6.318,0.28%
2022-03-10,6.3212,6.3169,6.3264,6.3151,0.06%
2022-03-09,6.3174,6.3174,6.3286,6.3123,-0.01%
2022-03-08,6.3178,6.3162,6.3214,6.3095,-0.03%
2022-03-07,6.3194,6.3258,6.3263,6.3158,0.01%
2022-03-04,6.3188,6.3201,6.3235,6.3139,-0.01%
2022-03-03,6.3195,6.3191,6.3225,6.3143,-0.02%
2022-03-02,6.321,6.3135,6.3225,6.3089,0.15%
2022-03-01,6.3116,6.3071,6.3161,6.3068,0.05%
2022-02-28,6.3084,6.3194,6.32,6.3046,-0.13%
2022-02-25,6.3169,6.3231,6.3248,6.3116,-0.18%
2022-02-24,6.3283,6.3216,6.3322,6.3105,0.24%
2022-02-23,6.3134,6.3266,6.3316,6.3119,-0.20%
2022-02-22,6.326,6.3379,6.3465,6.3222,-0.13%
2022-02-21,6.3345,6.3275,6.3383,6.3219,0.15%
2022-02-18,6.3251,6.3361,6.3376,6.324,-0.21%
2022-02-17,6.3381,6.3323,6.3411,6.3292,0.08%
2022-02-16,6.3332,6.3386,6.3434,6.3324,-0.08%
2022-02-15,6.3385,6.3542,6.3569,6.3378,-0.29%
2022-02-14,6.3567,6.3545,6.3636,6.3541,0.04%
2022-02-11,6.354,6.3576,6.3679,6.3538,0.02%
2022-02-10,6.3526,6.3615,6.3637,6.352,-0.15%
2022-02-09,6.3619,6.3646,6.3657,6.3597,-0.06%
2022-02-08,6.366,6.3565,6.372,6.3559,0.12%
2022-02-07,6.3583,6.3569,6.3639,6.3544,-0.04%
2022-02-04,6.361,6.361,6.361,6.361,0.00%
2022-02-03,6.361,6.361,6.361,6.361,0.00%
2022-02-02,6.361,6.361,6.361,6.361,0.00%
2022-02-01,6.361,6.361,6.361,6.361,0.00%
2022-01-31,6.361,6.361,6.361,6.361,0.01%
2022-01-28,6.3605,6.3654,6.3672,6.3528,-0.06%
