x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.4.30,2018-04-30 00:00:00,ON,2018,4,30,10.7,,2.7,,18.7,,1.2,,1.2,,0,,,,36,,43,,0,,7.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.1,2018-05-01 00:00:00,ON,2018,5,1,10.1,,0.5,,19.6,,0,T,0,T,0,,,,15,,32,,0,,7.9,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.2,2018-05-02 00:00:00,ON,2018,5,2,19,,10.2,,27.7,,1.2,,1.2,,0,,,,24,,56,,1,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.3,2018-05-03 00:00:00,ON,2018,5,3,13.7,,10.1,,17.3,,5.4,,5.4,,0,,,,35,,35,,0,,4.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.4,2018-05-04 00:00:00,ON,2018,5,4,14.6,,6.1,,23.1,,3,,3,,0,,,,28,,96,,0,,3.4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.5,2018-05-05 00:00:00,ON,2018,5,5,14.7,,5.3,,24.1,,0,,0,,0,,,,28,,46,,0,,3.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.6,2018-05-06 00:00:00,ON,2018,5,6,14,,8.1,,19.9,,0,T,0,T,0,,,,35,,41,,0,,4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.7,2018-05-07 00:00:00,ON,2018,5,7,10,,4.6,,15.3,,0,,0,,0,,,,1,,33,,0,,8,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.8,2018-05-08 00:00:00,ON,2018,5,8,13.7,,4.4,,23,,0,,0,,0,,,,23,,35,,0,,4.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.9,2018-05-09 00:00:00,ON,2018,5,9,16.8,,6.1,,27.4,,0,,0,,0,,,,18,,37,,0,,1.2,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.10,2018-05-10 00:00:00,ON,2018,5,10,12.1,,3.4,,20.8,,2,,2,,0,,,,26,,69,,0,,5.9,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.11,2018-05-11 00:00:00,ON,2018,5,11,6.2,,0.5,,11.9,,0,,0,,0,,,,32,,41,,0,,11.8,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.12,2018-05-12 00:00:00,ON,2018,5,12,9.3,,0.1,,18.5,,0,,0,,0,,,,33,,30,,0,,8.7,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.13,2018-05-13 00:00:00,ON,2018,5,13,12,,1.7,,22.3,,0,,0,,0,,,,22,,33,,0,,6,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.14,2018-05-14 00:00:00,ON,2018,5,14,17.5,,9.5,,25.4,,0,,0,,0,,,,19,,46,,0,,0.5,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.15,2018-05-15 00:00:00,ON,2018,5,15,14,,7.9,,20,,0.2,,0.2,,0,,,,29,,48,,0,,4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.16,2018-05-16 00:00:00,ON,2018,5,16,13.3,,3,,23.6,,0,,0,,0,,,,21,,44,,0,,4.7,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.17,2018-05-17 00:00:00,ON,2018,5,17,13,,7.4,,18.6,,0,,0,,0,,,,2,,43,,0,,5,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.18,2018-05-18 00:00:00,ON,2018,5,18,10.5,,3,,17.9,,0,,0,,0,,,,10,,37,,0,,7.5,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.19,2018-05-19 00:00:00,ON,2018,5,19,12.4,,6.6,,18.2,,9.4,,9.4,,0,,,,11,,32,,0,,5.6,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.20,2018-05-20 00:00:00,ON,2018,5,20,12.6,,7.1,,18,,16.2,,16.2,,0,,,,32,,44,,0,,5.4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.21,2018-05-21 00:00:00,ON,2018,5,21,15.6,,5.3,,25.9,,0,,0,,0,,,,27,,46,,0,,2.4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.22,2018-05-22 00:00:00,ON,2018,5,22,13.8,,9.4,,18.1,,4.2,,4.2,,0,,,,0,,0,,0,,4.2,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.23,2018-05-23 00:00:00,ON,2018,5,23,16.7,,9.4,,23.9,,0,,0,,0,,,,28,,44,,0,,1.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.24,2018-05-24 00:00:00,ON,2018,5,24,17,,8.3,,25.7,,0,,0,,0,,,,20,,35,,0,,1,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.25,2018-05-25 00:00:00,ON,2018,5,25,20.7,,14.7,,26.6,,5.4,,5.4,,0,,,,27,,48,,2.7,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.26,2018-05-26 00:00:00,ON,2018,5,26,18.9,,16.2,,21.6,,2.8,,2.8,,0,,,,0,,0,,0.9,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.27,2018-05-27 00:00:00,ON,2018,5,27,18.6,,13.4,,23.8,,0,,0,,0,,,,6,,33,,0.6,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.28,2018-05-28 00:00:00,ON,2018,5,28,20.5,,15.2,,25.8,,1,,1,,0,,,,1,,32,,2.5,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.29,2018-05-29 00:00:00,ON,2018,5,29,19,,12.2,,25.8,,0,,0,,0,,,,35,,33,,1,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.30,2018-05-30 00:00:00,ON,2018,5,30,20.1,,10.3,,29.8,,0,,0,,0,,,,7,,33,,2.1,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.5.31,2018-05-31 00:00:00,ON,2018,5,31,22.9,,19.3,,26.5,,1.4,,1.4,,0,,,,20,,39,,4.9,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.1,2018-06-01 00:00:00,ON,2018,6,1,21.3,,14.8,,27.7,,0.2,,0.2,,0,,,,33,,46,,3.3,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.2,2018-06-02 00:00:00,ON,2018,6,2,18.8,,12.1,,25.4,,0,,0,,0,,,,1,,48,,0.8,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.3,2018-06-03 00:00:00,ON,2018,6,3,17.6,,10.4,,24.7,,20.2,,20.2,,0,,,,7,,46,,0,,0.4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.4,2018-06-04 00:00:00,ON,2018,6,4,14.1,,10.1,,18.1,,29.8,,29.8,,0,,,,27,,52,,0,,3.9,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.5,2018-06-05 00:00:00,ON,2018,6,5,12.1,,9.9,,14.2,,1.6,,1.6,,0,,,,25,,32,,0,,5.9,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.6,2018-06-06 00:00:00,ON,2018,6,6,14,,10.4,,17.6,,1.4,,1.4,,0,,,,0,,0,,0,,4,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.7,2018-06-07 00:00:00,ON,2018,6,7,16,,10.5,,21.5,,0,T,0,T,0,,,,20,,39,,0,,2,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.8,2018-06-08 00:00:00,ON,2018,6,8,16.6,E,10.5,E,22.7,E,0,,0,,0,,,,31,,32,,0,E,1.4,E,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.9,2018-06-09 00:00:00,ON,2018,6,9,16,,8,,24,,0,,0,,0,,,,28,,46,,0,,2,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.10,2018-06-10 00:00:00,ON,2018,6,10,14.7,,7.2,,22.1,,0,,0,,0,,,,1,,30,,0,,3.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.11,2018-06-11 00:00:00,ON,2018,6,11,15.7,,8,,23.3,,0,,0,,0,,,,7,,30,,0,,2.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.12,2018-06-12 00:00:00,ON,2018,6,12,18.3,,8.8,,27.7,,0,,0,,0,,,,24,,46,,0.3,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.13,2018-06-13 00:00:00,ON,2018,6,13,17.2,,13.6,,20.7,,7.6,,7.6,,0,,,,22,,41,,0,,0.8,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.14,2018-06-14 00:00:00,ON,2018,6,14,14.7,,11.7,,17.6,,2,,2,,0,,,,28,,50,,0,,3.3,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.15,2018-06-15 00:00:00,ON,2018,6,15,16.8,,8.2,,25.4,,0,,0,,0,,,,29,,39,,0,,1.2,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.16,2018-06-16 00:00:00,ON,2018,6,16,19.3,,10.4,,28.1,,0,,0,,0,,,,0,,0,,1.3,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.17,2018-06-17 00:00:00,ON,2018,6,17,22.2,,13.6,,30.7,,0,T,0,T,0,,,,25,,39,,4.2,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.18,2018-06-18 00:00:00,ON,2018,6,18,23.5,,16.6,,30.4,,2.2,,2.2,,0,,,,32,,65,,5.5,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.19,2018-06-19 00:00:00,ON,2018,6,19,18,,11.5,,24.5,,0,,0,,0,,,,33,,46,,0,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.20,2018-06-20 00:00:00,ON,2018,6,20,19.3,,9.7,,28.8,,0,,0,,0,,,,35,,41,,1.3,,0,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.21,2018-06-21 00:00:00,ON,2018,6,21,15.1,,9.2,,20.9,,0,,0,,0,,,,1,,39,,0,,2.9,,,,,
-75.66666666666667,45.31666666666667,OTTAWA INTL A,6106001,6106001.2018.6.22,2018-06-22 00:00:00,ON,2018,6,22,17.3,,8.4,,26.1,,0,,0,,0,,,,0,,0,,0,,0.7,,,,,
