x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.4,2020-04-04 00:00:00,SK,2020,4,4,-12.5,,-16.7,,-8.2,,,M,,M,,M,,,,M,,M,0,,30.5,,59,,91,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.5,2020-04-05 00:00:00,SK,2020,4,5,-6.9,,-10.6,,-3.1,,,M,,M,,M,,,,M,,M,0,,24.9,,76,,92,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.6,2020-04-06 00:00:00,SK,2020,4,6,-5.7,,-12.2,,0.8,,,M,,M,,M,,,,M,,M,0,,23.7,,78,,96,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.7,2020-04-07 00:00:00,SK,2020,4,7,-5.3,,-13.6,,3.1,,,M,,M,,M,,,,M,,M,0,,23.3,,63,,94,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.8,2020-04-08 00:00:00,SK,2020,4,8,-5.6,,-10.7,,-0.5,,,M,,M,,M,,,,M,,M,0,,23.6,,60,,88,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.9,2020-04-09 00:00:00,SK,2020,4,9,-7,,-17,,3,,,M,,M,,M,,,,M,,M,0,,25,,52,,90,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.10,2020-04-10 00:00:00,SK,2020,4,10,0.4,,-3.3,,4.1,,,M,,M,,M,,,,M,,M,0,,17.6,,56,,89,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.11,2020-04-11 00:00:00,SK,2020,4,11,-6.6,,-9.9,,-3.2,,,M,,M,,M,,,,M,,M,0,,24.6,,54,,82,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.12,2020-04-12 00:00:00,SK,2020,4,12,-8.5,,-11.3,,-5.7,,,M,,M,,M,,,,M,,M,0,,26.5,,53,,86,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.13,2020-04-13 00:00:00,SK,2020,4,13,-9.7,,-13.2,,-6.2,,,M,,M,,M,,,,M,,M,0,,27.7,,53,,81,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.14,2020-04-14 00:00:00,SK,2020,4,14,-7,,-15,,1.1,,,M,,M,,M,,,,M,,M,0,,25,,37,,88,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.15,2020-04-15 00:00:00,SK,2020,4,15,-5.5,,-10.1,,-0.9,,,M,,M,,M,,,,M,,M,0,,23.5,,46,,88,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.16,2020-04-16 00:00:00,SK,2020,4,16,-0.3,,-4.5,,4,,,M,,M,,M,,,,M,,M,0,,18.3,,50,,92,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.17,2020-04-17 00:00:00,SK,2020,4,17,4.2,,-1.4,,9.7,,,M,,M,,M,,,,M,,M,0,,13.8,,55,,86,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.18,2020-04-18 00:00:00,SK,2020,4,18,0.2,,-3.3,,3.7,,,M,,M,,M,,,,M,,M,0,,17.8,,52,,90,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.19,2020-04-19 00:00:00,SK,2020,4,19,4.3,,-3.4,,11.9,,,M,,M,,M,,,,M,,M,0,,13.7,,38,,85,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.20,2020-04-20 00:00:00,SK,2020,4,20,3.3,,-1.4,,8,,,M,,M,,M,,,,M,,M,0,,14.7,,48,,94,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.21,2020-04-21 00:00:00,SK,2020,4,21,9.8,,-0.8,,20.3,,,M,,M,,M,,,,M,,M,0,,8.2,,30,,81,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.22,2020-04-22 00:00:00,SK,2020,4,22,8.2,,0.4,,15.9,,,M,,M,,M,,,,M,,M,0,,9.8,,33,,92,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.23,2020-04-23 00:00:00,SK,2020,4,23,8,,-1.9,,17.9,,,M,,M,,M,,,,M,,M,0,,10,,24,,94,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.24,2020-04-24 00:00:00,SK,2020,4,24,6.2,,-1.7,,14,,,M,,M,,M,,,,M,,M,0,,11.8,,41,,96,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.25,2020-04-25 00:00:00,SK,2020,4,25,7.9,,-2.9,,18.6,,,M,,M,,M,,,,M,,M,0,,10.1,,21,,100,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.26,2020-04-26 00:00:00,SK,2020,4,26,6.9,,0.2,,13.5,,,M,,M,,M,,,,M,,M,0,,11.1,,37,,93,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.27,2020-04-27 00:00:00,SK,2020,4,27,7.2,,-2.4,,16.7,,,M,,M,,M,,,,M,,M,0,,10.8,,35,,96,
-106.7,52.170833333333334,SASKATOON INTL A,4057152,4057152.2020.4.28,2020-04-28 00:00:00,SK,2020,4,28,10.4,,2.4,,18.3,,,M,,M,,M,,,,M,,M,0,,7.6,,22,,85,
